sample	mutation_type	mutations
TCGA-AB-2865	Frame_Shift_Ins	2
TCGA-AB-2865	Missense_Mutation	10
TCGA-AB-2865	Nonsense_Mutation	2
TCGA-AB-2865	Splice_Site	1
TCGA-AB-2866	Missense_Mutation	1
TCGA-AB-2867	Missense_Mutation	8
TCGA-AB-2867	Nonsense_Mutation	1
TCGA-AB-2868	Missense_Mutation	10
TCGA-AB-2868	Splice_Site	2
TCGA-AB-2869	Frame_Shift_Ins	1
TCGA-AB-2869	In_Frame_Ins	1
TCGA-AB-2869	Missense_Mutation	5
TCGA-AB-2869	Nonsense_Mutation	1
TCGA-AB-2870	In_Frame_Del	1
TCGA-AB-2870	Missense_Mutation	6
TCGA-AB-2870	Nonsense_Mutation	1
TCGA-AB-2871	In_Frame_Ins	1
TCGA-AB-2871	Missense_Mutation	11
TCGA-AB-2871	Nonsense_Mutation	1
TCGA-AB-2871	Splice_Site	1
TCGA-AB-2872	Frame_Shift_Ins	1
TCGA-AB-2872	Missense_Mutation	7
TCGA-AB-2872	Nonsense_Mutation	1
TCGA-AB-2873	Frame_Shift_Del	1
TCGA-AB-2873	Missense_Mutation	1
TCGA-AB-2874	Missense_Mutation	14
TCGA-AB-2875	In_Frame_Ins	1
TCGA-AB-2875	Missense_Mutation	7
TCGA-AB-2875	Splice_Site	1
TCGA-AB-2876	Missense_Mutation	5
TCGA-AB-2876	Nonsense_Mutation	2
TCGA-AB-2877	In_Frame_Ins	1
TCGA-AB-2877	Missense_Mutation	17
TCGA-AB-2878	Frame_Shift_Del	1
TCGA-AB-2878	Missense_Mutation	11
TCGA-AB-2879	Frame_Shift_Del	1
TCGA-AB-2879	Frame_Shift_Ins	1
TCGA-AB-2879	In_Frame_Ins	1
TCGA-AB-2879	Missense_Mutation	1
TCGA-AB-2879	Nonsense_Mutation	1
TCGA-AB-2880	Frame_Shift_Ins	1
TCGA-AB-2880	In_Frame_Ins	1
TCGA-AB-2881	Missense_Mutation	6
TCGA-AB-2881	Nonsense_Mutation	1
TCGA-AB-2882	Frame_Shift_Del	1
TCGA-AB-2882	Missense_Mutation	13
TCGA-AB-2882	Splice_Site	1
TCGA-AB-2883	Splice_Site	1
TCGA-AB-2884	Frame_Shift_Ins	1
TCGA-AB-2884	Missense_Mutation	4
TCGA-AB-2885	Frame_Shift_Ins	1
TCGA-AB-2885	Missense_Mutation	11
TCGA-AB-2885	Splice_Site	1
TCGA-AB-2886	Frame_Shift_Del	1
TCGA-AB-2886	Frame_Shift_Ins	2
TCGA-AB-2886	Missense_Mutation	8
TCGA-AB-2887	Missense_Mutation	12
TCGA-AB-2888	Frame_Shift_Del	1
TCGA-AB-2888	In_Frame_Ins	1
TCGA-AB-2888	Missense_Mutation	4
TCGA-AB-2888	Nonsense_Mutation	1
TCGA-AB-2889	Missense_Mutation	2
TCGA-AB-2890	Missense_Mutation	5
TCGA-AB-2890	Nonsense_Mutation	1
TCGA-AB-2891	Missense_Mutation	12
TCGA-AB-2891	Splice_Site	2
TCGA-AB-2892	Frame_Shift_Ins	1
TCGA-AB-2892	Missense_Mutation	1
TCGA-AB-2894	Missense_Mutation	3
TCGA-AB-2895	Missense_Mutation	9
TCGA-AB-2895	Splice_Site	2
TCGA-AB-2896	Frame_Shift_Ins	2
TCGA-AB-2896	Missense_Mutation	1
TCGA-AB-2897	Missense_Mutation	4
TCGA-AB-2897	Splice_Site	1
TCGA-AB-2898	Frame_Shift_Ins	1
TCGA-AB-2898	In_Frame_Del	1
TCGA-AB-2898	Missense_Mutation	8
TCGA-AB-2898	Splice_Site	2
TCGA-AB-2899	In_Frame_Del	1
TCGA-AB-2899	Missense_Mutation	11
TCGA-AB-2900	Frame_Shift_Ins	2
TCGA-AB-2900	Missense_Mutation	14
TCGA-AB-2900	Splice_Site	1
TCGA-AB-2901	Missense_Mutation	6
TCGA-AB-2904	Missense_Mutation	15
TCGA-AB-2905	Frame_Shift_Del	1
TCGA-AB-2905	Frame_Shift_Ins	1
TCGA-AB-2905	Missense_Mutation	14
TCGA-AB-2905	Nonsense_Mutation	1
TCGA-AB-2906	In_Frame_Ins	1
TCGA-AB-2906	Missense_Mutation	7
TCGA-AB-2906	Nonsense_Mutation	2
TCGA-AB-2907	Missense_Mutation	11
TCGA-AB-2907	Nonsense_Mutation	1
